iter	Passed	Remaining
0	122	122159
1	124	62241
2	127	42216
3	128	31981
4	136	27074
5	140	23206
6	143	20394
7	155	19283
8	162	17843
9	168	16720
10	173	15608
11	176	14490
12	181	13815
13	189	13357
14	199	13112
15	200	12320
16	201	11643
17	201	11016
18	202	10457
19	203	9953
20	203	9495
21	204	9082
22	205	8711
23	205	8367
24	206	8064
25	208	7810
26	209	7538
27	210	7318
28	211	7094
29	213	6896
30	214	6689
31	216	6534
32	216	6349
33	217	6170
34	217	6002
35	218	5843
36	218	5694
37	220	5572
38	220	5439
39	221	5315
40	223	5221
41	224	5112
42	225	5008
43	226	4921
44	228	4848
45	230	4776
46	231	4686
47	231	4599
48	232	4518
49	233	4438
50	234	4358
51	234	4280
52	235	4206
53	236	4137
54	237	4084
55	238	4021
56	239	3959
57	240	3898
58	240	3839
59	241	3781
60	242	3725
61	242	3671
62	243	3625
63	244	3577
64	245	3528
65	246	3483
66	246	3436
67	247	3391
68	248	3347
69	248	3304
70	249	3263
71	250	3225
72	251	3189
73	253	3167
74	254	3144
75	256	3113
76	256	3078
77	257	3045
78	258	3011
79	259	2981
80	259	2949
81	260	2918
82	261	2883
83	261	2853
84	262	2823
85	263	2795
86	263	2768
87	264	2740
88	265	2713
89	265	2687
90	269	2696
91	271	2680
92	272	2657
93	274	2642
94	275	2622
95	275	2598
96	276	2574
97	277	2551
98	278	2532
99	278	2510
100	279	2488
101	280	2470
102	281	2454
103	285	2458
104	286	2439
105	286	2420
106	287	2399
107	288	2379
108	288	2360
109	291	2354
110	291	2336
111	292	2317
112	292	2299
113	293	2280
114	294	2263
115	294	2245
116	295	2227
117	295	2210
118	297	2200
119	298	2186
120	298	2171
121	299	2157
122	300	2144
123	301	2133
124	302	2119
125	303	2105
126	304	2090
127	304	2077
128	305	2063
129	306	2049
130	306	2035
131	307	2021
132	308	2007
133	308	1994
134	309	1981
135	310	1970
136	311	1965
137	312	1952
138	313	1940
139	314	1930
140	315	1921
141	315	1909
142	316	1897
143	317	1885
144	317	1874
145	318	1862
146	319	1851
147	319	1840
148	320	1829
149	320	1818
150	321	1808
151	322	1797
152	322	1786
153	323	1775
154	323	1765
155	324	1755
156	325	1745
157	327	1743
158	328	1737
159	329	1731
160	330	1721
161	331	1712
162	331	1703
163	332	1693
164	332	1684
165	333	1675
166	334	1666
167	334	1657
168	335	1649
169	335	1640
170	336	1631
171	337	1623
172	337	1614
173	338	1606
174	338	1597
175	343	1607
176	344	1600
177	345	1594
178	345	1586
179	346	1578
180	347	1570
181	347	1562
182	348	1554
183	348	1546
184	349	1539
185	350	1531
186	350	1524
187	351	1517
188	351	1509
189	352	1502
190	353	1495
191	353	1488
192	354	1481
193	355	1475
194	357	1475
195	358	1471
196	360	1467
197	360	1460
198	361	1454
199	361	1447
200	362	1440
201	363	1434
202	363	1428
203	364	1421
204	365	1415
205	365	1409
206	366	1402
207	366	1396
208	367	1390
209	368	1384
210	368	1378
211	369	1372
212	370	1368
213	371	1365
214	372	1360
215	373	1354
216	373	1348
217	374	1342
218	374	1337
219	375	1331
220	376	1325
221	376	1320
222	377	1314
223	377	1309
224	378	1304
225	379	1298
226	379	1293
227	380	1288
228	381	1283
229	381	1278
230	384	1280
231	385	1276
232	388	1278
233	389	1273
234	389	1268
235	390	1263
236	390	1258
237	391	1253
238	392	1248
239	392	1243
240	393	1238
241	393	1233
242	394	1228
243	395	1224
244	395	1219
245	396	1214
246	396	1210
247	397	1205
248	400	1207
249	400	1202
250	402	1199
251	402	1195
252	403	1191
253	404	1186
254	404	1182
255	405	1177
256	406	1173
257	406	1169
258	407	1165
259	407	1160
260	408	1156
261	409	1152
262	409	1147
263	410	1143
264	410	1139
265	411	1135
266	412	1131
267	416	1136
268	417	1134
269	417	1130
270	418	1126
271	419	1122
272	419	1118
273	420	1114
274	421	1110
275	421	1106
276	422	1102
277	422	1098
278	423	1094
279	424	1090
280	424	1086
281	425	1082
282	425	1079
283	426	1075
284	427	1072
285	430	1074
286	431	1070
287	432	1069
288	435	1070
289	436	1068
290	437	1066
291	439	1064
292	440	1063
293	441	1061
294	445	1064
295	447	1064
296	448	1062
297	450	1060
298	451	1058
299	452	1056
300	454	1054
301	455	1052
302	456	1050
303	457	1046
304	458	1044
305	459	1042
306	465	1050
307	466	1048
308	467	1045
309	469	1045
310	470	1041
311	470	1038
312	471	1034
313	471	1031
314	472	1027
315	476	1031
316	477	1028
317	478	1025
318	478	1022
319	479	1019
320	480	1015
321	480	1012
322	481	1009
323	482	1005
324	482	1002
325	483	999
326	483	995
327	485	993
328	485	991
329	486	988
330	487	986
331	495	997
332	496	994
333	499	996
334	500	993
335	500	989
336	501	986
337	502	983
338	502	979
339	503	976
340	503	973
341	504	970
342	506	969
343	506	966
344	507	963
345	508	961
346	509	959
347	510	956
348	510	953
349	511	949
350	512	948
351	513	945
352	513	942
353	514	938
354	514	935
355	515	932
356	516	929
357	516	926
358	517	923
359	517	920
360	518	918
361	519	915
362	521	914
363	521	911
364	522	909
365	524	907
366	525	905
367	525	902
368	526	899
369	526	896
370	527	894
371	528	891
372	529	889
373	529	886
374	530	883
375	530	880
376	531	878
377	532	875
378	532	872
379	533	869
380	533	867
381	534	864
382	535	863
383	536	860
384	537	858
385	539	857
386	540	855
387	540	852
388	541	850
389	541	847
390	542	845
391	543	842
392	543	839
393	544	837
394	545	835
395	545	832
396	546	829
